article_id,author1,year,title,source_type,db_tier,reco_folder,reco_filename,reco_folder,reco_filename
ART-0780,Liu,2011,Clinical practice guidelines by the Infectious Diseases Society of America for t,Guideline/Org,local_lite,RECO_local_lite,Liu_Bayer_2011#@#ART-0780@#@.pdf,RECO_local_lite,Liu_Bayer_2011#@#ART-0780@#@.pdf
ART-0826,Matheson,2019,Hirsutism in women,AFP,local_lite,RECO_local_lite,Matheson_Bain_2019#@#ART-0826@#@.pdf,RECO_local_lite,Matheson_Bain_2019#@#ART-0826@#@.pdf
ART-0834,Mayans,2018,Acute migraine headache: Treatment strategies,AFP,local_lite,RECO_local_lite,Mayans_Walling_2018#@#ART-0834@#@.pdf,RECO_local_lite,Mayans_Walling_2018#@#ART-0834@#@.pdf
ART-0841,McDonald,2017,Clinical practice guidelines for Clostridium difficile infection in adults and c,Guideline/Org,local_lite,RECO_local_lite,McDonald_Gerding_2017#@#ART-0841@#@.pdf,RECO_local_lite,McDonald_Gerding_2017#@#ART-0841@#@.pdf
ART-0865,Metlay,2019,Diagnosis and treatment of adults with community-acquired pneumonia,Guideline/Org,local_lite,RECO_local_lite,Metlay_Waterer_2019#@#ART-0865@#@.pdf,RECO_local_lite,Metlay_Waterer_2019#@#ART-0865@#@.pdf
ART-0867,Michaudet,2017,Chronic cough: Evaluation and management,AFP,local_lite,RECO_local_lite,Michaudet_Malaty_2017#@#ART-0867@#@.pdf,RECO_local_lite,Michaudet_Malaty_2017#@#ART-0867@#@.pdf
ART-0868,Michels,2014,Addison disease: Early detection and treatment principles,AFP,local_lite,RECO_local_lite,Michels_Michels_2014#@#ART-0868@#@.pdf,RECO_local_lite,Michels_Michels_2014#@#ART-0868@#@.pdf
ART-0886,Moayyedi,2017,ACG and CAG clinical guideline: management of dyspepsia,Other Journal,right_click,RECO_right_click,Moayyedi_Lacy_2017#@#ART-0886@#@.pdf,RECO_right_click,Moayyedi_Lacy_2017#@#ART-0886@#@.pdf
ART-0911,National,2020,Hepatitis C information: Testing recommendations for hepatitis C virus infection,Guideline/Org,local_lite,RECO_local_lite,National_Viral_2020#@#ART-0911@#@.pdf,RECO_local_lite,National_Viral_2020#@#ART-0911@#@.pdf
ART-0919,Nettleton,2021,common questions and answers,AFP,local_lite,RECO_local_lite,Nettleton_2021#@#ART-0919@#@.pdf,RECO_local_lite,Nettleton_2021#@#ART-0919@#@.pdf
ART-0930,O'Gurek,2022,Hemoptysis: Evaluation and management,AFP,right_click,RECO_right_click,OGurek_Choi_2022#@#ART-0930@#@.pdf,RECO_right_click,OGurek_Choi_2022#@#ART-0930@#@.pdf
ART-0934,Ogé,2019,Acne vulgaris: Diagnosis and treatment,AFP,local_lite,RECO_local_lite,Og_Broussard_2019#@#ART-0934@#@.pdf,RECO_local_lite,Og_Broussard_2019#@#ART-0934@#@.pdf
ART-0935,Oh,2017,Mildly elevated liver transaminase levels: Causes and evaluation,AFP,local_lite,RECO_local_lite,Oh_Hustead_2017#@#ART-0935@#@.pdf,RECO_local_lite,Oh_Hustead_2017#@#ART-0935@#@.pdf
ART-0936,Oh,2020,Management of hypertriglyceridemia: Common questions and answers,AFP,local_lite,RECO_local_lite,Oh_Trivette_2020#@#ART-0936@#@.pdf,RECO_local_lite,Oh_Trivette_2020#@#ART-0936@#@.pdf
